area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,Ready To Move,kanakapura,2 BHK,SPavenc,1090,2,2,38.15,South Zone
Super built-up  Area,18-Jan,hennur road,2 BHK,Puachal,1232,2,1,74,Yelahanka Zone
Super built-up  Area,Ready To Move,anekal,2 BHK,,766,2,2,28,Outside BBMP Zones
Plot  Area,Ready To Move,banashankari stage iii,5 Bedroom,,1200,5,0,180,South Zone
Super built-up  Area,21-Dec,kanakpura road,1 BHK,PrarePa,525,1,1,27,South Zone
Super built-up  Area,18-Aug,hosa road,3 BHK,Sosisic,142.61Sq. Meter,3,1,109,Bommanahalli Zone
Built-up  Area,Ready To Move,jp nagar,3 BHK,,1452,2,1,41,South Zone
Super built-up  Area,Ready To Move,choodasandra,3 BHK,Aharlve,1254,2,1,65,South Zone
Built-up  Area,Ready To Move,ms pallya,5 Bedroom,,3600,5,0,110,Yelahanka Zone
Super built-up  Area,19-Jul,kanakpura road,3 BHK,Soazak,1593,3,1,118,South Zone
Super built-up  Area,Ready To Move,iti layout,2 BHK,Soarkge,1333,2,2,77.27,South Zone
Built-up  Area,Ready To Move,herohalli,3 Bedroom,,1100,3,1,110,Dasarahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,Lancyey,1375,2,1,54.99,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,ardendale,3 BHK,Mahtsba,1650,3,3,82,Outside BBMP Zones
Super built-up  Area,Ready To Move,thanisandra,3 BHK,MenueNo,1430,2,2,51.48,Yelahanka Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,Pao 3ow,940,2,1,54,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city,1 BHK,GMown E,435,1,1,21,Bommanahalli Zone
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1160,2,2,36.54,Bommanahalli Zone
Super built-up  Area,18-Mar,electronic city,3 BHK,GMown E,1500,2,1,77.5,Bommanahalli Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,KHage G,1890,2,1,100,East Zone
Built-up  Area,Ready To Move,doopanahalli,2 BHK,,1050,2,1,70,East Zone
Plot  Area,Ready To Move,singasandra,6 Bedroom,,1200,6,3,220,Bommanahalli Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,,1027,2,2,43,Bommanahalli Zone
Super built-up  Area,18-Dec,whitefield,3 BHK,BSlasin,1390 - 1600,,,61.28,Mahadevapura Zone
Plot  Area,Ready To Move,seegehalli,3 Bedroom,Stndeil,3000,4,2,235,Mahadevapura Zone
Super built-up  Area,Ready To Move,tumkur road,3 BHK,Soubya,1459,2,1,95,Dasarahalli Zone
Super built-up  Area,21-Mar,yelahanka,3 BHK,Goues A,1711,3,3,85.61,Yelahanka Zone
Super built-up  Area,22-Jun,hoodi,2 BHK,GoAirej,1250,2,2,98,Mahadevapura Zone
Super built-up  Area,18-Sep,chandapura,1 BHK,SunceEs,645,1,1,16.45,Outside BBMP Zones
Plot  Area,Ready To Move,anandapura,2 Bedroom,,875,2,1,57,East Zone
Built-up  Area,18-Feb,ramamurthy nagar,2 BHK,,1334,2,1,67,Mahadevapura Zone
Built-up  Area,18-Dec,huskur,2 BHK,,1140,2,1,32.92,Bommanahalli Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,,1115,2,2,50,Bommanahalli Zone
Plot  Area,Ready To Move,amruthahalli,3 Bedroom,,1200,5,2,200,Yelahanka Zone
Super built-up  Area,18-Aug,rajaji nagar,3 BHK,ProdsWe,1776,3,1,190,West Zone
Super built-up  Area,Ready To Move,thigalarapalya,3 BHK,Prtanha,2072,4,2,160,Mahadevapura Zone
Plot  Area,Ready To Move,kundalahalli,3 Bedroom,Roima A,1600,3,2,170,Mahadevapura Zone
Plot  Area,Ready To Move,lakshmi layout,6 Bedroom,,1200,4,2,115,Unknown
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,Malowr,920,2,3,39,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Feb,chandapura,2 BHK,PavesGr,598 - 958,2,0,25.29,Outside BBMP Zones
Plot  Area,Ready To Move,nagasandra,4 Bedroom,,1310,3,3,95,Dasarahalli Zone
Super built-up  Area,Ready To Move,electronic city,3 BHK,Goty  E,1631,3,2,80,Bommanahalli Zone
Super built-up  Area,21-Dec,kanakpura road,1 BHK,PrarePa,525,1,1,27.5,South Zone
Built-up  Area,Ready To Move,jalahalli,3 BHK,Reodsnc,1395,3,3,82,Dasarahalli Zone
Super built-up  Area,Ready To Move,devi nagar,3 BHK,Krtonwe,2000,3,2,105,Yelahanka Zone
Super built-up  Area,18-Jul,hennur road,2 BHK,Puachal,1232,2,1,66,Yelahanka Zone
Super built-up  Area,Ready To Move,virupakshapura,2 BHK,,1075,2,1,55,Yelahanka Zone
Super built-up  Area,Ready To Move,gubbalala,2 BHK,MauilTr,1205,2,2,70,South Zone
Plot  Area,Ready To Move,muthyala nagar,4 Bedroom,,1200,4,2,165,Unknown
Super built-up  Area,Ready To Move,rajiv nagar,4 BHK,PuoodSk,2340,5,1,129,Outside BBMP Zones
Super built-up  Area,Ready To Move,rayasandra,3 BHK,Amlisai,1179,2,1,55,Bommanahalli Zone
Super built-up  Area,Ready To Move,kodigehaali,2 BHK,Shyas S,1013,2,1,51,Yelahanka Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,SLnssPr,1160,2,2,40.6,South Zone
Plot  Area,Ready To Move,thyagaraja nagar,8 Bedroom,,1500Cents,6,2,290,South Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Hiestre,1200,2,2,62.5,Unknown
Plot  Area,Ready To Move,nrupathunga nagar,7 Bedroom,,1200,5,0,80,Unknown
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1255,2,3,50.19,South Zone
Built-up  Area,Ready To Move,richmond town,3 BHK,,1100,2,1,145,East Zone
Built-up  Area,Ready To Move,samethanahalli,2 BHK,SPontna,1069,2,1,55,Mahadevapura Zone
Plot  Area,Ready To Move,kyalasanahalli,3 Bedroom,Ceonyy,1200,3,2,99,Yelahanka Zone
Super built-up  Area,Ready To Move,kudlu gate,1 BHK,,1400,1,1,285,Bommanahalli Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,Inden O,1065,2,2,55,Mahadevapura Zone
Built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,BVeneSe,1395,2,0,75,West Zone
Built-up  Area,Ready To Move,hebbal kempapura,3 BHK,Goateds,1725,2,1,165,Yelahanka Zone
Built-up  Area,Ready To Move,coconut grove layout,2 BHK,Naenti,1007,2,2,43,Unknown
Built-up  Area,Ready To Move,kengeri,3 BHK,,1436,2,2,55,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,amrita nagar,6 BHK,,4250,6,3,150,Unknown
Super built-up  Area,19-Jun,hebbal,3 BHK,Raard B,1645,3,2,117,Yelahanka Zone
Plot  Area,Ready To Move,kengeri,2 Bedroom,,1200,2,0,58,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Apr,mysore road,2 BHK,Brama P,940,2,1,43.61,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,kr puram,6 Bedroom,,4300,6,2,175,Mahadevapura Zone
Super built-up  Area,20-Dec,hebbal,3 BHK,Cehosy,2850,5,3,343,Yelahanka Zone
Built-up  Area,Ready To Move,indira nagar,3 BHK,,1740,3,2,191,East Zone
Super built-up  Area,18-May,haralur road,2 BHK,,1194,2,2,47,Bommanahalli Zone
Super built-up  Area,Ready To Move,sadashiva nagar,3 BHK,,3761,3,2,650,West Zone
Super built-up  Area,Ready To Move,dodda nekkundi,3 BHK,,1829,3,2,125,Mahadevapura Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,,1800,4,3,178,Mahadevapura Zone
Super built-up  Area,Ready To Move,austin town,2 BHK,,1000,2,1,60,East Zone
Built-up  Area,Ready To Move,venkatapura,3 Bedroom,,5720,3,0,350,Bommanahalli Zone
Plot  Area,Ready To Move,vignana nagar,5 Bedroom,,800,4,2,98,Mahadevapura Zone
Super built-up  Area,Ready To Move,kadabagere,2 BHK,Jahipa,675,1,1,15,Dasarahalli Zone
Super built-up  Area,Ready To Move,hebbal,2 BHK,Chtert,1390,2,2,95,Yelahanka Zone
Super built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,RothaVa,1500,3,2,104,West Zone
Super built-up  Area,21-Jun,vijayanagar,3 BHK,Saityat,2047,3,2,136,West Zone
Super built-up  Area,Ready To Move,jakkur,2 BHK,HRaniIb,1202,2,1,79,Yelahanka Zone
Super built-up  Area,Ready To Move,kodbisanhalli,2 BHK,Seityen,1012,2,1,59,Mahadevapura Zone
Super built-up  Area,Ready To Move,gunjur,3 BHK,Paestol,2132,3,3,80,Mahadevapura Zone
Plot  Area,Ready To Move,raja rajeshwari nagar,4 Bedroom,,1350,4,3,340,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,whitefield,1 BHK,,605,1,1,40,Mahadevapura Zone
Super built-up  Area,Ready To Move,harlur,2 BHK,Prncyrn,1331,2,1,88,Bommanahalli Zone
Plot  Area,18-May,margondanahalli,2 Bedroom,,1200,2,0,69,Mahadevapura Zone
Built-up  Area,Ready To Move,kumara park,2 BHK,,1150,2,0,250,West Zone
Plot  Area,Ready To Move,sahakara nagar,2 Bedroom,,1200,2,1,136,Yelahanka Zone
Built-up  Area,Ready To Move,anand nagar,2 Bedroom,Bebalrk,1800,2,0,300,West Zone
Plot  Area,Ready To Move,kammanahalli,3 Bedroom,,600,2,1,50,East Zone
Super built-up  Area,Ready To Move,akshaya vana,3 BHK,Rainet,1280,2,2,49,Bommanahalli Zone
Super built-up  Area,Ready To Move,balagere,2 BHK,Soresea,1007,2,1,62,Mahadevapura Zone
Super built-up  Area,18-May,thanisandra,3 BHK,SLityee,1370,2,1,61,Yelahanka Zone
Super built-up  Area,Ready To Move,kalkere,2 BHK,Sothin,925,2,2,35,Mahadevapura Zone
Super built-up  Area,Ready To Move,tc palaya,2 BHK,,1500,2,0,75,Mahadevapura Zone
Built-up  Area,Ready To Move,attibele,1 BHK,Jae 1hu,450,1,1,12.5,Outside BBMP Zones
Built-up  Area,Ready To Move,peenya,4 Bedroom,,1200,4,1,140,Dasarahalli Zone
Super built-up  Area,19-Mar,hennur road,2 BHK,Puachal,1341,2,1,95,Yelahanka Zone
Super built-up  Area,Ready To Move,2nd phase judicial layout,3 BHK,,1350,2,2,47.25,Unknown
Super built-up  Area,Ready To Move,tumkur road,2 BHK,Sahtsva,992,2,1,60,Dasarahalli Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,RaontWa,1163,2,2,68,South Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Ceiti I,1229,2,2,70,Bommanahalli Zone
Plot  Area,Ready To Move,gowdanapalya,2 Bedroom,,600,2,2,39,South Zone
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Coomee,1219,2,1,61.26,Bommanahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,GRvanun,1525,2,2,99.13,Rajarajeshwari Nagar Zone
Super built-up  Area,20-Jun,kasavanhalli,2 BHK,Esareap,1147,2,1,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,DLhtsnd,1412,2,3,88,Bommanahalli Zone
Plot  Area,Ready To Move,munnekollal,9 Bedroom,,1200,9,3,215,Mahadevapura Zone
Super built-up  Area,19-Jun,sarjapur road,2 BHK,,1044,2,1,34.77,Bommanahalli Zone
Super built-up  Area,Ready To Move,nagarbhavi,2 BHK,KohraNa,1190,2,2,63,West Zone
Super built-up  Area,Ready To Move,nagadevanahalli,3 BHK,,1240,2,2,65,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1352,3,1,65,Outside BBMP Zones
Built-up  Area,Ready To Move,ashwathnagar,2 BHK,,1100,2,2,55,Mahadevapura Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,SLnssPr,1330,2,2,39.9,South Zone
Super built-up  Area,20-Nov,rr layout,3 BHK,,1700,3,2,111,Outside BBMP Zones
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1355,2,1,67,Bommanahalli Zone
Super built-up  Area,18-Nov,ramamurthy nagar,2 BHK,Vaharvi,1200,2,1,46,Mahadevapura Zone
Super built-up  Area,Ready To Move,kengeri,1 BHK,,400,2,1,25,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,sarjapur road,2 BHK,Tiare S,1342,2,,70,Bommanahalli Zone
Super built-up  Area,Ready To Move,begur road,3 BHK,Dhalsh,1615,3,2,50.87,Bommanahalli Zone
Super built-up  Area,Ready To Move,vinayaka nagar,2 BHK,,1340,2,1,65,Unknown
Super built-up  Area,Ready To Move,jakkuru layout,2 BHK,,1200,2,1,54,Yelahanka Zone
Built-up  Area,Ready To Move,yeshwanthpur,1 Bedroom,,400,1,0,55,Dasarahalli Zone
Super built-up  Area,Ready To Move,devanahalli,2 BHK,Brrds O,1080,2,1,52,Outside BBMP Zones
Super built-up  Area,Ready To Move,gollahalli,2 BHK,SuanaNa,1600,2,1,31,Outside BBMP Zones
Super built-up  Area,Ready To Move,electronic city,2 BHK,Prtor N,1200,2,0,34,Bommanahalli Zone
Plot  Area,17-Apr,hennur road,3 Bedroom,,2700,3,2,150,Yelahanka Zone
Built-up  Area,Ready To Move,billapura,3 Bedroom,,1780,3,0,110,Outside BBMP Zones
Built-up  Area,Ready To Move,amruthahalli,3 BHK,Pranai,1605,3,2,65,Yelahanka Zone
Super built-up  Area,17-Sep,ulsoor,4 BHK,,7200,5,2,1584,East Zone
Plot  Area,Ready To Move,doddabommasandra,3 Bedroom,,646,2,1,65,Yelahanka Zone
Super built-up  Area,Ready To Move,kammanahalli,2 BHK,Bhide P,1200,2,2,80,East Zone
Plot  Area,Ready To Move,margondanahalli,2 Bedroom,,900,2,0,49,Mahadevapura Zone
Built-up  Area,19-Dec,sarjapur,3 Bedroom,,1830,3,1,88,Outside BBMP Zones
Plot  Area,Ready To Move,vishwapriya layout,5 Bedroom,,690,4,1,83,Bommanahalli Zone
Built-up  Area,Ready To Move,srirampuram,1 BHK,,650,1,3,500,West Zone
Plot  Area,Ready To Move,ms pallya,5 Bedroom,,1800,4,1,68,Yelahanka Zone
Built-up  Area,Ready To Move,chandapura,3 BHK,,715,2,0,32,Outside BBMP Zones
Super built-up  Area,18-Sep,chandapura,3 BHK,SunceEs,1230,2,2,31.37,Outside BBMP Zones
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,,1065,2,1,42.59,South Zone
Plot  Area,Ready To Move,2nd phase jp nagar,8 Bedroom,,1350,8,2,185,Unknown
Plot  Area,Ready To Move,srinagar,3 Bedroom,,1080,3,2,149,South Zone
Built-up  Area,Ready To Move,khb colony extension,3 BHK,,900,2,0,65,Unknown
Super built-up  Area,Ready To Move,devasthanagalu,2 BHK,CMhidal,946,2,2,45,Outside BBMP Zones
Super built-up  Area,Ready To Move,laggere,1 BHK,,1500,1,0,60,Dasarahalli Zone
Super built-up  Area,18-May,sarjapur road,3 BHK,PualeSk,1711,3,1,110,Bommanahalli Zone
Plot  Area,Ready To Move,attur layout,4 Bedroom,,1200,3,2,160,Yelahanka Zone
Super built-up  Area,18-Aug,chandapura,2 BHK,SuVue S,950,2,1,25.65,Outside BBMP Zones
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,Brlms P,1656,3,2,80,Bommanahalli Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Ayaya A,1075,2,1,46.76,South Zone
Super built-up  Area,Ready To Move,harlur,3 BHK,,1752.12,3,2,133,Bommanahalli Zone
Plot  Area,Ready To Move,hebbal,8 Bedroom,,6000,8,0,220,Yelahanka Zone
Super built-up  Area,Ready To Move,kaverappa layout,3 BHK,,1540,3,3,85,Outside BBMP Zones
Plot  Area,Ready To Move,6th phase jp nagar,4 Bedroom,,600,4,3,125,Unknown
Super built-up  Area,Ready To Move,lb shastri nagar,1 BHK,Ciisera,665,1,2,32,East Zone
Super built-up  Area,Ready To Move,sector 2 hsr layout,3 BHK,,1665,3,,110,Unknown
Super built-up  Area,18-Mar,electronics city phase 1,2 BHK,Shitt S,1145,2,1,54,Unknown
Super built-up  Area,18-Aug,whitefield,2 BHK,SSdhimr,1185,2,2,41,Mahadevapura Zone
Plot  Area,Ready To Move,2nd phase jp nagar,3 Bedroom,,1200,3,1,190,Unknown
Built-up  Area,Ready To Move,marathahalli,3 BHK,Duals P,1693,3,2,125,Mahadevapura Zone
Super built-up  Area,Ready To Move,dollars layout,3 BHK,Toiasle,2456,3,3,220,East Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2559,3,2,403,West Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,SLnssPr,1155,2,1,40.6,South Zone
Super built-up  Area,17-Oct,divya unnathi layout,3 BHK,,1610,2,2,64.4,Outside BBMP Zones
Plot  Area,18-Nov,whitefield,3 Bedroom,,1200,3,2,56.58,Mahadevapura Zone
Plot  Area,Ready To Move,anjana nagar,2 Bedroom,,1530,2,1,185,Unknown
Built-up  Area,Ready To Move,epip zone,3 BHK,,1709,3,1,80,Mahadevapura Zone
Plot  Area,Ready To Move,amruthahalli,4 Bedroom,,600,4,0,60,Yelahanka Zone
Plot  Area,Ready To Move,brookefield,8 Bedroom,,2700,8,,290,Mahadevapura Zone
Plot  Area,Ready To Move,subramanya nagar,1 Bedroom,,840,1,1,150,West Zone
Super built-up  Area,Ready To Move,gottigere,3 BHK,,1400,2,1,50,South Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,Thisea,1200,2,1,42,Mahadevapura Zone
Super built-up  Area,Ready To Move,janatha colony,3 BHK,SGllaav,1439,3,1,57.23,Outside BBMP Zones
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,,1375,2,2,72,Mahadevapura Zone
Plot  Area,Ready To Move,btm 2nd stage,5 Bedroom,,2990,5,3,416,Unknown
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,,1200,2,1,75,West Zone
Built-up  Area,Ready To Move,yelahanka,2 BHK,Velas V,1315,2,3,75,Yelahanka Zone
Plot  Area,18-Mar,dommasandra,2 Bedroom,,1500,2,0,40,Outside BBMP Zones
Built-up  Area,Ready To Move,yelahanka,6 Bedroom,,3600,6,1,200,Yelahanka Zone
Super built-up  Area,Ready To Move,vijayanagar,2 BHK,Rancy R,1178,2,3,82,West Zone
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,,1430,3,2,59,South Zone
Super built-up  Area,Ready To Move,mahadevpura,3 BHK,Neisei,1400,2,2,65.8,Mahadevapura Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,Bhmesy,1093,2,2,72,Yelahanka Zone
Super built-up  Area,Ready To Move,horamavu banaswadi,2 BHK,Bhave E,1200,2,1,45,Mahadevapura Zone
Plot  Area,Ready To Move,magadi road,5 Bedroom,,5000,6,1,360,West Zone
Built-up  Area,15-Dec,1st block jayanagar,3 BHK,Bhsic C,1200,2,0,130,Unknown
Built-up  Area,18-Apr,whitefield,3 BHK,,2210,3,2,156,Mahadevapura Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Revane,1150,2,2,70,South Zone
Super built-up  Area,Ready To Move,silk board,3 BHK,,1435,2,1,60,Bommanahalli Zone
Plot  Area,Ready To Move,mathikere,4 Bedroom,,600,3,,100,West Zone
Super built-up  Area,20-Dec,whitefield,2 BHK,Oreldhi,1173,2,1,78.2,Mahadevapura Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1140,2,1,39,Yelahanka Zone
Super built-up  Area,Ready To Move,jakkur plantation,3 BHK,Reicace,1717,3,3,120,Yelahanka Zone
Super built-up  Area,Ready To Move,mallasandra,2 BHK,GMilse,1325,2,,65,Dasarahalli Zone
Built-up  Area,Ready To Move,hoodi,3 BHK,Macanr,1370,3,2,67,Mahadevapura Zone
Super built-up  Area,21-Aug,electronics city phase 1,2 BHK,GMownTe,1025,2,1,90,Unknown
Super built-up  Area,Ready To Move,doddakammanahalli,3 BHK,,1409,2,3,62,Outside BBMP Zones
Super built-up  Area,Ready To Move,bellandur,2 BHK,SRageri,1200,2,1,52,Mahadevapura Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,NRtesnd,1200,2,1,53.5,Yelahanka Zone
Super built-up  Area,18-Feb,whitefield,3 BHK,BrlisCo,1740,4,3,130,Mahadevapura Zone
Super built-up  Area,19-Mar,hennur road,2 BHK,Puachal,1232,2,1,88,Yelahanka Zone
Plot  Area,18-Nov,chandapura,2 Bedroom,,1200,2,1,36,Outside BBMP Zones
Super built-up  Area,Ready To Move,whitefield,4 BHK,Toindls,5924,4,3,625,Mahadevapura Zone
Super built-up  Area,Ready To Move,veersandra,2 BHK,Shnto F,1250,2,1,50,Bommanahalli Zone
Built-up  Area,Ready To Move,munivenkatppa layout,2 BHK,SNiew L,1475,2,2,171,Outside BBMP Zones
Super built-up  Area,Ready To Move,bommanahalli,4 BHK,Alarke,2100,4,2,85,Bommanahalli Zone
Super built-up  Area,Ready To Move,5th phase jp nagar,1 BHK,,552,1,1,23.5,Unknown
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1065,2,2,42.59,South Zone
Plot  Area,17-Aug,hennur,3 Bedroom,,1000,3,1,130,Yelahanka Zone
Plot  Area,Ready To Move,lakshmipura,2 Bedroom,,1225,2,0,65,Mahadevapura Zone
Built-up  Area,Ready To Move,harsha layout,1 BHK,,650,1,0,16,Outside BBMP Zones
Super built-up  Area,Ready To Move,padmanabhanagar,2 BHK,Gancy P,1067,2,2,52,South Zone
Super built-up  Area,Ready To Move,sarjapur,3 BHK,Sondaka,1364,2,2,56,Outside BBMP Zones
Super built-up  Area,Ready To Move,tata nagar,3 BHK,,1750,3,3,75,Yelahanka Zone
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,,1240,2,1,71,South Zone
Plot  Area,Ready To Move,hulimavu,2 Bedroom,,1200,2,0,75,Bommanahalli Zone
Super built-up  Area,Ready To Move,kaggadasapura,3 BHK,,1540,3,,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,sathya layout,3 BHK,NChtsun,1504,2,2,102,Outside BBMP Zones
Super built-up  Area,Ready To Move,new thippasandra,2 BHK,,1116,2,1,49.8,East Zone
Super built-up  Area,Ready To Move,hennur road,3 BHK,Samittv,2365,4,2,175,Yelahanka Zone
Built-up  Area,Ready To Move,sarjapura - attibele road,2 BHK,,1308,2,2,37,Outside BBMP Zones
Built-up  Area,Ready To Move,vijayanagar,2 BHK,,864,2,0,45,West Zone
Plot  Area,Ready To Move,vidyaranyapura,5 Bedroom,,1200,5,1,139,Yelahanka Zone
Super built-up  Area,Ready To Move,hoskote,3 BHK,Sohti S,1069,2,,38,Outside BBMP Zones
Super built-up  Area,Ready To Move,hebbal,2 BHK,Prersis,1333,2,1,100,Yelahanka Zone
Super built-up  Area,Ready To Move,chennammana kere,4 BHK,,1800,4,1,145,South Zone
Plot  Area,Ready To Move,devanahalli,4 Bedroom,Soyleif,6136,4,,550,Outside BBMP Zones
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1698,3,2,107,Yelahanka Zone
Super built-up  Area,18-Jun,jp nagar,3 BHK,,1275,2,2,43.6,South Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,Avlls H,1060,2,1,48,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,hennur,2 BHK,,1160,2,1,49,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Arldsyo,1484,2,,65,Bommanahalli Zone
Plot  Area,Ready To Move,hosa road,3 Bedroom,,675,3,1,70,Bommanahalli Zone
Plot  Area,Ready To Move,beml layout,3 Bedroom,,1200,5,,325,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,hennur road,2 BHK,Mileeou,1310,2,1,66,Yelahanka Zone
Plot  Area,Ready To Move,vijayanagar,6 Bedroom,,1806,6,1,370,West Zone
Super built-up  Area,Ready To Move,shanti nagar,4 BHK,HViesar,3000,4,,240,East Zone
Super built-up  Area,Ready To Move,varthur,3 BHK,,2145,3,2,165,Mahadevapura Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Duals P,1693,3,1,125,Mahadevapura Zone
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1230,3,3,60,Outside BBMP Zones
Plot  Area,18-Jan,devanahalli,3 Bedroom,Ozdiaan,1200,3,1,145,Outside BBMP Zones
Built-up  Area,18-Aug,bommasandra industrial area,3 BHK,,1310,2,1,37.83,Outside BBMP Zones
Super built-up  Area,Ready To Move,tigalarpalya,2 BHK,,1150,2,1,60,Outside BBMP Zones
Super built-up  Area,18-Apr,munnekollal,3 BHK,Sadhii,1385,2,2,66.5,Mahadevapura Zone
Super built-up  Area,Ready To Move,tumkur road,2 BHK,Redarav,1066,2,2,52.5,Dasarahalli Zone
Super built-up  Area,19-Dec,thanisandra,3 BHK,DSity S,2293,3,2,80.26,Yelahanka Zone
Plot  Area,Ready To Move,tindlu,3 Bedroom,,720,3,1,81,Yelahanka Zone
Carpet  Area,Ready To Move,2nd block bel layout,3 BHK,,1625,3,3,92,Unknown
Super built-up  Area,Ready To Move,vittasandra,2 BHK,,1246,2,1,67.4,Bommanahalli Zone
Plot  Area,Ready To Move,vijayanagar,4 Bedroom,,2100,6,1,252,West Zone
Super built-up  Area,Ready To Move,sarjapura main road,4 BHK,,2400,4,3,250,Unknown
Plot  Area,Ready To Move,raja rajeshwari nagar,6 Bedroom,,3900,6,,195,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Axdam V,1000,2,1,70.65,Unknown
Super built-up  Area,Ready To Move,nagavarapalya,2 BHK,MYncysi,907,2,2,38,East Zone
Plot  Area,Ready To Move,ulsoor,4 Bedroom,,3500,4,0,138,East Zone
Super built-up  Area,Ready To Move,varthur,3 BHK,Vaensia,1395,2,3,79,Mahadevapura Zone
Super built-up  Area,Ready To Move,kumbena agrahara,2 BHK,Shont F,1180,2,2,50,Mahadevapura Zone
